,close,SMA 7,SMA 25,SMA 99,EMA 7,EMA 25,EMA 99,bband upper,bband middle,bband lower,ADX 14,K,D,J,MOM 7,MOM 25,MOM 99,WMA 7,WMA 25,WMA 99,RSI 6,RSI 12,RSI 24,STCK 10,STCD 7
300,"[28995.747,29064.606]","[28945.036,29011.295]","[28907.458,28971.226]",,"[28951.654,29017.352]","[28919.782,28982.303]",,"[29053.66,29123.207]","[28950.948,29016.677]","[28909.792,28973.764]","[24.726,25.933]","[60.107,61.876]","[56.304,57.921]","[65.163,67.932]",58.569999999999716,120.47999999999956,154.8199999999997,29013.24142857201,28984.36889230785,28966.714282828252,55.6879990494483,57.50267498083809,54.81282713740744,51.669624132925904,56.68501868129487
301,"[28995.747,29064.606]","[29011.295,29077.554]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28919.782,28982.303]","[28947.051,29004.998]","[29053.66,29123.207]","[28950.948,29016.677]","[28909.792,28973.764]","[24.726,25.933]","[60.107,61.876]","[57.921,59.538]","[65.163,67.932]",75.65999999999985,116.77000000000044,172.8600000000006,29017.700357143436,28988.181876923238,28967.735044444413,60.44988083619529,59.862324358509476,55.97750512146619,61.03403774802562,65.40416693101282
302,"[28995.747,29064.606]","[29011.295,29077.554]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28919.782,28982.303]","[28947.051,29004.998]","[29053.66,29123.207]","[28950.948,29016.677]","[28909.792,28973.764]","[24.726,25.933]","[56.569,58.338]","[56.304,57.921]","[51.318,54.087]",28.51000000000204,91.65000000000146,174.5600000000013,29015.427142857723,28990.39556923093,28968.398484848447,51.27004327741792,55.2183414003174,53.96239790209235,48.031940635588896,66.45194102731786
303,"[28995.747,29064.606]","[29011.295,29077.554]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28982.303,29044.824]","[28947.051,29004.998]","[29053.66,29123.207]","[28950.948,29016.677]","[28909.792,28973.764]","[25.933,27.14]","[61.876,63.645]","[57.921,59.538]","[67.932,70.701]",48.45000000000073,116.14000000000307,184.8199999999997,29020.193214286293,28994.806492307856,28969.671260606032,64.28333052071729,61.69915111421303,57.17846792367877,74.02806904339636,68.91147543691476
304,"[28995.747,29064.606]","[29011.295,29077.554]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28982.303,29044.824]","[28947.051,29004.998]","[29053.66,29123.207]","[28950.948,29016.677]","[28909.792,28973.764]","[25.933,27.14]","[51.263,53.031]","[56.304,57.921]","[40.242,43.011]",-22.630000000001022,69.31000000000131,143.760000000002,29015.468928572005,28996.472369230934,28970.285898989863,49.12273709582765,53.55608622630243,53.427668535186456,48.991772866592854,61.62629917267933
305,"[28995.747,29064.606]","[29011.295,29077.554]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28982.303,29044.824]","[28947.051,29004.998]","[28984.114,29053.66]","[28950.948,29016.677]","[28973.764,29037.736]","[25.933,27.14]","[45.956,47.725]","[53.07,54.687]","[31.935,34.704]",-34.79000000000087,75.5,218.70000000000076,29014.23035714344,28998.748830769393,28971.085694949463,53.648868669483086,55.75413688376103,54.502233226574894,43.48574502420605,55.59694267289925
306,"[28995.747,29064.606]","[29011.295,29077.554]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28982.303,29044.824]","[28947.051,29004.998]","[28984.114,29053.66]","[29016.677,29082.406]","[28973.764,29037.736]","[25.933,27.14]","[31.804,33.573]","[44.985,46.602]","[4.246,7.015]",-21.869999999998978,57.06000000000132,171.13999999999942,29010.10178571486,28999.521446154013,28971.51070909088,46.05977555104744,51.63922494056783,52.54951280201169,14.381353830897849,48.80322046880482
307,"[28995.747,29064.606]","[29011.295,29077.554]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28982.303,29044.824]","[28947.051,29004.998]","[28984.114,29053.66]","[28950.948,29016.677]","[28973.764,29037.736]","[25.933,27.14]","[33.573,35.342]","[41.751,43.368]","[15.322,18.091]",2.290000000000873,48.9900000000016,140.54000000000087,29009.611785714867,29000.99772307709,28972.12974949492,51.72604027005939,54.18963013871113,53.7452584587294,29.357685707282766,45.61580069371295
308,"[28995.747,29064.606]","[28945.036,29011.295]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28982.303,29044.824]","[28947.051,29004.998]","[28984.114,29053.66]","[28950.948,29016.677]","[28973.764,29037.736]","[25.933,27.14]","[31.804,33.573]","[38.517,40.134]","[18.091,20.86]",-17.470000000001164,26.149999999997817,92.7599999999984,29007.00250000058,29001.696338461705,28972.55739797977,47.46018459171941,52.0542648017326,52.75610059512474,24.74549725920068,40.431723481023674
309,"[28995.747,29064.606]","[28945.036,29011.295]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28982.303,29044.824]","[28947.051,29004.998]","[28984.114,29053.66]","[28950.948,29016.677]","[28973.764,29037.736]","[24.726,25.933]","[28.266,30.035]","[35.283,36.9]","[15.322,18.091]",-4.020000000000437,47.27000000000044,90.72000000000116,29004.349642857724,29002.109107692475,28972.912907070673,45.969779770922344,51.331360202416064,52.426254503885076,23.12026765275721,36.87291305490485
310,"[28995.747,29064.606]","[28945.036,29011.295]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28982.303,29044.824]","[28947.051,29004.998]","[28984.114,29053.66]","[28950.948,29016.677]","[28973.764,29037.736]","[24.726,25.933]","[42.418,44.187]","[36.9,38.517]","[51.318,54.087]",-13.319999999999707,51.4900000000016,117.28000000000247,29007.57285714344,29004.140276923248,28973.708688888848,59.18027130104164,56.934546359009644,54.95035271119024,69.89726691219461,36.28279846473317
311,"[28995.747,29064.606]","[28945.036,29011.295]","[28971.226,29034.993]","[28967.662,29025.695]","[28951.654,29017.352]","[28982.303,29044.824]","[28947.051,29004.998]","[28984.114,29053.66]","[28950.948,29016.677]","[28973.764,29037.736]","[24.726,25.933]","[54.8,56.569]","[43.368,44.985]","[76.239,79.008]",22.5,40.110000000000575,102.61000000000057,29012.466785714867,29006.380707692482,28974.576377777736,61.53301937143097,58.03330675197764,55.464341948075116,79.16262841635981,40.592920686128465
